Ct.gov,MoA,Drug,Company,Trial Name,NCT,Other Trial Code,Phase,Status,Purpose,Design,Indication,Study Type,Biomarker,Primary Endpoint,Secondary Endpoints,n,Population,Key Inclusion Criteria,Key Exclusion Criteria,Dose (mg) being tested,Frequency,Route,Device,Comparator(s),Geography,Start,Recruit finished,Study Duration (weeks),Primary data completed (CT.gov),Study completion (CT.gov),Safety Registrational study,FDA Filing Date,FDA Response,US Launch,EU Filing Date,CHMP Decision Date,Marketing Approval,EU Launch,Japan filing,MHLW Approval,Japan Launch,Notes,Topline results,Data Presentation,Source
Link,LAMA/LABA/ICS,CHF5993,Chiesi,TRISKEL,NCT02127866,,2,Fully enrolled,LCM,,Asthma,,,FEV1,,211,,,,100/6/25mcg; 100/6/50mcg; 100/6/100mcg,,,,Foster,,Apr-14,,6 weeks,May-15,,,,,,,,,,,,,Dose finding - open dosing (not fixed),,,
Link,LAMA,CHF5259 ,Chiesi,TRIGON,NCT02189577,,2,Recruiting,Supporting triple?,,COPD,,,Pre-dose morning FEV1,,98,,,,TBC,,,,No,,Jun-14,,4 weeks,Feb-15,,,,,,,,,,,,,CHF5259 = glycopyrrolate,,,
Link,LAMA,CHF5259 ,Chiesi,ELITRA,NCT02296411,,2,Recruiting,Supporting triple or novel FDC?,Double-blind Placebo controlled,Asthma,,,,,98,,,,12.5mcg + low/medium dose ICS,,,,No,,Nov-14,,,Aug-15,,,,,,,,,,,,,CHF5259 added to ICS (open combination),,,
Link,LAMA/LABA,Tio + olo FDC,BI,VIVACITO,NCT01559116,,3,Completed,Pivotal,FDC vs mono components and placebo,COPD,Lung function,,FEV1 AUC0-24h response,,219,,,,5/5; 2.5/5 mcg,,,,"Mono components (Tio high, Tio low, olo), pbo",,Mar-12,,6 weeks,Aug-13,,,,,,,,,,,,,,"For FEV1 AUC0–24, both FDCs were significantly superior to placebo (T+O FDC 5/5 µg: 0.280 L, p<0.0001; T+O 2.5/5 µg: 0.277 L, p<0.0001) and monotherapies (T+O 5/5 µg: 0.110–0.127 L, p<0.0001; T+O 2.5/5 µg: 0.107–0.124 L, p<0.0001).
There were also significantly greater increases in trough FEV1 with both FDCs compared with placebo (0.201–0.207 L, p<0.0001) and monotherapies (T+O 5/5 µg: 0.079–0.107 L, p<0.0001; T+O 2.5/5 µg: 0.073–0.101 L, p<0.0001).
",ATS 2014,
Link,LAMA/LABA,Tio + olo FDC,BI,TONADO 1,NCT01431274,,3,Completed,Pivotal,,COPD,Safety & efficacy,,"•FEV1 AUC0-3h response on Day 169
•Trough FEV1 response on Day 170 
•SGRQ total score on Day 169 ",,2624,,,,5/5; 2.5/5 mcg,,,,"Mono components (Tio high, Tio low, olo)",,Sep-11,,52 weeks,Sep-13,,,,,,,,,,,,,,,ERS 2014,
Link,LAMA/LABA,Tio + olo FDC,BI,TONADO 2,NCT01431287,,3,Completed,Pivotal,,COPD,Safety & efficacy,,"•FEV1 AUC0-3h response on Day 169
•Trough FEV1 response on Day 170 
•SGRQ total score on Day 169 ",,2539,,,,5/5; 2.5/5 mcg,,,,"Mono components (Tio high, Tio low, olo)",,Sep-11,,52 weeks,Nov-13,,,,,,,,,,,,,,,ERS 2014,
Link,LAMA/LABA,Tio + olo FDC,BI,MORACTO 1,NCT01533922,,3,Completed,Marketing,,COPD,Exercise endurance,,"•Inspiratory capacity (IC) at rest before constant work rate cycle ergometry to symptom limitation at 75% Wcap
•Endurance time during constant work rate cycle ergometry to symptom limitation at 75% Wcap",,295,,,,5/5; 2.5/5 mcg,,,,"Mono components (Tio high, olo), pbo",,Feb-12,,6 weeks,Nov-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,MORACTO 2,NCT01533935,,3,Completed,Marketing,,COPD,Exercise endurance,,"•Inspiratory capacity (IC) at rest before constant work rate cycle ergometry to symptom limitation at 75% Wcap
•Endurance time during constant work rate cycle ergometry to symptom limitation at 75% Wcap",,291,,,,5/5; 2.5/5 mcg,,,,"Mono components (Tio high, olo), pbo",,Feb-12,,6 weeks,Nov-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,TORRACTO,NCT01525615,,3,Completed,Marketing,,COPD,Exercise endurance,,Endurance time during constant work rate cycle ergometry ,,404,,,,5/5; 2.5/5 mcg,,,,pbo,,Feb-12,,12 weeks,Sep-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,,NCT01536262,,3,Completed,Pivotal (Jp),,COPD,Japanese long-term safety,,Safety (Japan study),,122,,,,5/5; 2.5/5 mcg,,,,Olodaterol,,Feb-12,,52 weeks,Sep-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,OTEMTO 1,NCT01964352,,3,Fully enroled (Sept 14),Marketing,,COPD,Efficacy,,"•FEV1 AUC0-3h response at 12 weeks
•Trough FEV1 response at 12 weeks
•SGRQ total score at 12 weeks",,800,,,,5/5; 2.5/5 mcg (not confirmed),,,,"Tio, pbo",,Nov-13,,12 weeks,Oct-14,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,OTEMTO 2,NCT02006732,,3,Completed,Marketing,,COPD,Efficacy,,"•FEV1 AUC0-3h response at 12 weeks
•Trough FEV1 response at 12 weeks
•SGRQ total score at 12 weeks",,800,,,,5/5; 2.5/5 mcg (not confirmed),,,,"Tio, pbo",,Nov-13,,12 weeks,Oct-14,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,,NCT01969721,,3,Fully enrolled (June 14),H2H,H2H vs Advair,COPD,Lung function,,FEV1 AUC0-12h,,232,,,,5/5; 2.5/5 mcg,,,,Advair (250/50 & 500/50),,Oct-13,,6 weeks,Jan-15,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,,NCT02085161,,3,Recruiting,,,COPD,Exercise endurance with behavioural modification,,Endurance time [sec] during Endurance Shuttle Walk Test to symptom limitation at walking speed corresponding to 85% of predicted maximum oxygen consumption after 8 weeks of treatment  (NB - includes behaviour modification),,300,,,,5/5 mcg,,,,"Tio, pbo",,Mar-14,,8 weeks,Jan-15,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Tio + olo FDC,BI,DYNAGITO,NCT02296138,,3,Recruiting,Marketing/H2H,H2H vs Spiriva,COPD,,,Annualised rate of exacberations,,"7,800",,,,5/5 mcg,,,,Tio 5mcg,,Jan-15,,52 weeks,Mar-17,,,,,,,,,,,,,,,,
Link,,Tio + Sal free combo,BI,WISDOM,NCT00975195,,4,Completed,IIS,,COPD,Inhaled Corticosteroid Withdrawal,,Time to first moderate or severe on-treatment COPD exacerbation ,,2488,,,,"Tio 18 ?g od, sal 50 ?g bid and flu 500 ?g bid",,,,Stepwise withdrawal of fluticasone to zero,,Feb-09,,52 weeks,Jul-13,,,,,,,,,,,,,BI now distancing themselves from this IIS study (primary research),,ERS 2014,
Link,MABA,GSK961081,GSK,,NCT00674817,,2,Completed,,,COPD,,,,,45,,,,"400 & 1,200 mcg",,,,No - placebo only,,Apr-08,,,Aug-08,,,,,,,,,,,,,,,,
Link,MABA,GSK961081,GSK,,NCT00478738,,2,Completed,,,COPD,,,,,40,,,,2 doses,,,,,,Jun-07,,,May-08,,,,,,,,,,,,,,,,
Link,MABA,GSK961081,GSK,,NCT01319019,,2,Completed,,,COPD,,,,,437,,,,100mcg OD/BD 400mcg OD/BD 800mcg OD/BD,,,,Salmeterol,,Mar-11,,,Mar-12,,,,,,,,,,,,,,Positive,ERS 2012,
Link,MABA/ICS,GSK961081+FF,GSK,,NCT02064504,,1,Completed,,,COPD,,,,,48,,,,SAD,,,,No,,Feb-14,,,May-14,,,,,,,,,,,,,,,,
Link,MABA/ICS,GSK961081+FP,GSK,,NCT01449799,,1,Completed,,,COPD,,,,,24,,,,800/500 mcg,,,,FP,,Jul-11,,,Sep-11,,,,,,,,,,,,,,,,
Link,LAMA/ICS,UMEC + FF,GSK,,NCT01725685,,1,Completed,,,-,,,,,18,,,,FF=400mcg; UMEC = 500mcg,,,,No,,Nov-12,,,Dec-12,,,,,,,,,,,,,,,,
Link,LAMA/ICS,UMEC + FF,GSK,,NCT01573624,,2,Completed,Dose ranging,,Asthma,,,,,421,,,,FF=100mcg; UMEC = 15.6/31.25/125 & 250mcg,,,,FF & Relvar,,Apr-12,,,Feb-13,,,,,,,,,,,,,,,,
Link,LAMA/ICS,UMEC + FF,GSK,,NCT02164539,,2,Recruiting,Dose ranging,,COPD with asthmatic component,,,FEV1,,266,,,,FF=100mcg; UMEC = 15.6/31.25/125 & 250mcg,,,,FF,,Jul-14,,4 weeks,Jan-15,,,,,,,,,,,,,,,,
Link,LAMA,UMEC mono,GSK,,NCT01641692,,2,Completed,,,Asthma,,,,,350,,,,15.6/31.25/62.5/125 & 250mcg QD & 15.6 & 31.25mcg BID,,,,No,,May-12,,,Feb-13,,,,,,,,,,,,,,,,
Link,LAMA,UMEC mono,GSK,,NCT00950807,,2,,,,COPD,,,,,176,,,,62.5/125/250 & 500mcg QD & 62.5/125/250 BID,,,,No,,Sep-09,,,Mar-10,,,,,,,,,,,,,Dose ranging study with Spiriva arm,,,
Link,LAMA,UMEC mono,GSK,,NCT01387230,,3,Completed,Pivotal,,COPD,,,,,206,,,,62.5 & 125 QD,,,,No,,Jul-11,,,Feb-12,,,,,,,,,,,,,,,,
Link,LAMA,UMEC mono,GSK,AC4115361,NCT01702363,,3,Completed,Pivotal,,COPD,,,,,131,,,,125mcg QD,,,,No,,Aug-12,,,Dec-13,,,,,,,,,,,,,Japanese long term safety study,,,
Link,LAMA,UMEC mono,GSK,,NCT02236611,,4,Recruiting,H2H,,COPD,,,Trough FEV1,,1006,,,,62.5mcg QD,,,,Seebri 44mcg,,Sep-14,,12 weeks,Apr-15,,,,,,,,,,,,,,,,
Link,LAMA,UMEC mono,GSK,,NCT02207829,,4,Recruiting,H2H,,COPD,,,Trough FEV1,,1006,,,,62.5mcg QD,,,,Spiriva 18mcg (HH),,Sep-14,,12 weeks,Jun-15,,,,,,,,,,,,,,,,
Link,LAMA,UMEC mono,GSK,,NCT02184611,,3,Planned,Pivotal,,COPD,,,Trough FEV1 @ Day 169,,454,,,,62.5mcg QD,,,,No,,Apr-15,,12 weeks,Aug-16,,,,,,,,,,,,,Aisan study,,,
Link,LAMA/LABA/ICS,UMEC + Advair,GSK,,NCT01772134,,3,Completed,Open triple,,COPD,,,,,617,,,,UMEC = 62.5 & 125 QD,,,,No,,Jan-13,,12 weeks,Jul-13,,,,,,,,,,,,, ,,ATS 2014,
Link,LAMA/LABA/ICS,UMEC + Advair,GSK,,NCT01772147,,3,Completed,Open triple,,COPD,,,,,,,,,UMEC = 62.5 & 125 QD,,,,No,,Jan-13,,12 weeks,Aug-13,,,,,,,,,,,,, ,,ATS 2014,
Link,LAMA/LABA/ICS,UMEC + Relvar,GSK,Study 1,NCT01957163,,3,Completed,Open triple,,COPD,,,Trough FEV1 on Day 85,,600,,,,UMEC = 62.5 & 125 QD,,,,No,,Oct-13,,12 weeks ,Apr-14,,,,,,,,,,,,,,Yes - positive,,
Link,LAMA/LABA/ICS,UMEC + Relvar,GSK,Study 2,NCT02119286,,3,Completed,Open triple,,COPD,,,Change in Baseline Trough FEV1 on Day 85,,620,,,,UMEC = 62.5 & 125 QD,,,,No,,Oct-13,,12 weeks ,Apr-14,,,,,,,,,,,,,Note: first listed on ct.gov in Apr-14 once completed,Yes - positive,,
Link,LAMA/LABA/ICS,UMEC + ICS/LABA,,,NCT02257372 ,(EudraCT: 2014-000611-14),4,Active not recruiting,Open triple (EU),,COPD,,,Trough FEV on Day 85,,230,,,,UMEC = 62.5mcg QD,,,,No,,Sep-14,,,Mar-15,,,,,,,,,,,,,UMEC added to any ICS/LABA combination at an approved dose (including Symbicort),,,
Link,LAMA/LABA,Anoro,GSK,,NCT01822899,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 84,,717,,,,62.5/25mcg,,,,Advair/Seretide (500/50mcg),,Apr-13,,12 weeks,Dec-13,,,,,,,,,,,,, ,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01899742,,3,Recruiting,Marketing,,COPD,,,FEV1 @ Day 84,,490,,,,62.5/25mcg,,,,Spiriva (18mcg HH),,Sep-14,,12 weeks,May-15,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01491802,,3,Completed,IIS,,COPD,,,,,17,,,,125/25mcg,,,,Incruse,,Jan-12,,,Sep-14,Sep-14,,,,,,,,,,,,Non-GSK study,,,
Link,LAMA/LABA,Anoro,GSK,,NCT02152605,,3b,Recruiting,Marketing,,COPD,,,SGRQ score on day 84,,496,,,,62.5/25mcg,,,,No,,Sep-14,,12 weeks,Mar-15,,,,,,,,,,,,,The purpose of this study is to replicate the therapeutic benefit of UMEC/VI 62.5/25 microgram (mcg) on health-related quality of life as reflected by St. George's Respiratory Questionnaire (SGRQ) scores and symptoms as reflected by rescue medication use observed in the 6 month placebo controlled study (DB2113373). Timeline slipped,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01716520,,3,Completed,Pivotal,,COPD,,,FEV1,,182,,,,62.5/25mcg,,,,Monocomponents,,Oct-12,,2 weeks,May-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT02014480,,3,Completed,Pivotal,,COPD,,,FEV1,,207,,,,62.5/25mcg,,,,Monocomponents,,Feb-13,,2 weeks,Jun-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01817764,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 84,,707,,,,62.5/25mcg,,,,Advair/Seretide (250/50mcg),,Mar-13,,12 weeks,Oct-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01777334,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 168,,905,,,,62.5/25mcg,,,,Spiriva (18mcg HH),,Jan-13,,24 weeks,Sep-13,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01313650,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 169,,1538,,,,62.5/25mcg,,,,Monocomponents,,Mar-11,,24 weeks,Mar-12,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01316900,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 169,,846,,,,125/25 & 62.5/25 mcg,,,,Vilanterol (25mg),,Mar-11,,24 weeks,Apr-12,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01316913,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 169,,872,,,,125/25 & 62.5/25 mcg,,,,UMEC (125mcg),,Mar-11,,24 weeks,Apr-12,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01313637,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 169,,1493,,,,125/25mcg,,,,Monocomponents,,Mar-11,,24 weeks,Mar-12,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT01879410,,3,Completed,Pivotal,,COPD,,,FEV1 @ Day 84,,700,,,,62.5/25mcg,,,,Advair/Seretide (250/50mcg),,Jun-13,,12 weeks,Jan-14,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT02257385,,3,Planned,H2H,,COPD,,,FEV1 @ Day 85,,960,,,,62.5/25mcg,,,,Onbrez (150mcg) + Spiriva (18mcg HH),,Oct-14,,12 weeks,Apr-15,,,,,,,,,,,,,,,,
Link,LAMA/LABA,Anoro,GSK,,NCT02275052,,4,Planned,Marketing?,Double-blind Placebo controlled,COPD,,,EET 3 hours post dose @ Week 12,,194,,,,62.5/25mcg,,,,Placebo,,Jan-15,,12 weeks,Jan-16,,,,,,,,,,,,,Exercise endurance study,,,
Link,LABA/ICS,Relvar/Breo,GSK,SUMMIT,NCT01313676,,3,Fully enrolled,Label change,,COPD,,,All cause mortality ,,16000,,,,100/25mcg,,,,Free combo & placebo,,,,,,,,,,,,,,,,,,Key survival trial. Event driven but data expected 2016,,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT01336608,,3,Completed,Marketing?,,COPD,,,Change in aortic pulse wave velocity @ 24 weeks,,445,,,,100/25mcg,,,,Vilanterol,,Mar-11,,,Nov-14,Nov-14,,,,,,,,,,,,Arterial stiffness trial,,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT01957150,,4,Recruiting,Marketing,,COPD,,,(BMD) measured at the total hip,,250,,,,100/25mcg,,,,-,,Jan-14,,,Feb-17,,,,,,,,,,,,,BMD study,,,
Link,LABA/ICS,Relvar/Breo,GSK,Salford - A,NCT01706198,,3,Recruiting,Real world,,Asthma,,,percentage of subjects who have an ACT total score of ? 20 at Week 24 ,,4820,,,,100/25mcg; 200/25mcg,,,,SOC,,Nov-12,,24,Oct-16,,,,,,,,,,,,,Salford Lung Study - Asthma Cohort. Note: primary research suggests approximately 1 year behind COPD cohort,,,
Link,LABA/ICS,Relvar/Breo,GSK,Salford - C,NCT01551758,,3,Fully enrolled,Real world,,COPD,,,,,2798,,,,100/25mcg,,,,SOC,,Jan-12,,,Dec-14, ,,,,,,,,,,,,"Salford Lung Study - COPD Cohort. Although ctgov states trial completion in Dec-14 as recruitment completed in Oct-14, LPV is not expected until Oct-15",,,
Link,LABA/ICS,Relvar/Breo,GSK,RELOVAIR,NCT01691885,,3,Completed,Marketing?,,COPD,,,Change in RVEDVI,,45,,,,100/25mcg,,,,No,,,,,,,,,,,,,,,,,,Lung deflation study,,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT01837316,,1,Recruiting,,,Asthma,,,,,32,,,,100/25mcg,,,,No,,,,,,,,,,,,,,,,,,New Zealand,,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT02105974,,3,Recruiting,??,,COPD,,,Change in trough FEV1 from baseline at Day 84,,1582,,,,100/25mcg,,,,Vilanterol,,,,12 weeks,,,,,,,,,,,,,,"US, Japanese (n=350 patients) & Russian sites",,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT02152605,,3b,Recruiting,Marketing,,COPD,,,SGRQ total score at Day 84,,496,,,,62.5/25mcg,,,,No,,,,12 weeks,,,,,,,,,,,,,,Aims to replicate findings of DB2113373 HROL on SGRQ,,,
Link,LABA/ICS,Relvar/Breo,GSK,,NCT02301975,,3,Not yet recruiting,Marketing?,Double-blind Double dummy Non-inferiority,Asthma,,,FEV1 @ 24 weeks,,1461,Adults & adolescents controlled on LABA/ICS,,,100/25mcg,,,,Advair (250/50mcg) & FP 250mcg,,Mar-15,,24 weeks,Aug-16,,,,,,,,,,,,,>12 years,,,
Link,LABA,Vilanterol mono,GSK,,NCT01573767,,2b,Completed,,,Asthma,,,Change from Baseline in daily pre-dose evening PEF averaged over the 4-week ,,460,,,,6.25/12.5/25mcg,,,,Background ICS,,Apr-12,,4 weeks,Apr-14,,,,,,,,,,,,,5-11 year olds,,,
Link,,Ellipta,GSK,,NCT02135718,,4,Completed,Device,,-,,,Patient preference,,290,,,,-,,,,pMDI,,,,,,,,,,,,,,,,,,Patient preference study,,,
Link,LABA/ICS,Foster ,Chiesi,PIF3,NCT02018549,,2,Completed,Bridging? ,,COPD,,,Inhalation profile,,72,,,,Device study,,,NEXThaler,No,,Dec-13,,,Jun-14,,,,,,,,,,,,,Inhalation profile study. Open label,,,
Link,LABA/ICS,Foster ,Chiesi,,NCT02000609,,2,Completed,Bridging,,COPD,,,,,49,,,,800/40;200/12,,,NEXThaler,pMDI,,Dec-13,,,May-14,,,,,,,,,,,,,Bridging PD profile study,,,
Link,LABA/ICS,Foster ,Chiesi,FORWARD,NCT00929851,,3,Completed,Pivotal,,COPD,,,,,1199,,,,100/6,,,,Formoterol,,Oct-09,,,Mar-12,,,,,,,,,,,,,Lung function & exacerbation rate,,,
Link,LABA/ICS,Foster ,Chiesi,FUTURE,NCT01245569,,3,Completed,Pivotal,,COPD,,,,,373,,,,110/6,,,,Seretide 500/5,,Apr-11,,,Mar-12,,,,,,,,,,,,,,,,
Link,LABA/ICS,Foster ,Chiesi,FAIR,NCT01351792,,3,Terminated,,,COPD,,,,,114,,,,100/6,,,,Symbicort 200/6,,Sep-11,,,Jul-13,,,,,,,,,,,,,,,,
Link,LABA/ICS,Foster ,Chiesi,,NCT00476099,,3,Completed,,,COPD,,,,,828,,,,100/6,,,pMDI,Free combo,,Dec-06,,,Aug-08,,,,,,,,,,,,,,,,
Link,LABA/ICS,Foster,Chiesi,,NCT01176747,,1 & 2a,Completed,Marketing,,COPD & asthma,,,,,28,,,,,,,NEXThaler,No,,Aug-10,,,Sep-10,,,,,,,,,,,,,Lung deposition study,,,
Link,LABA/ICS,Foster ,Chiesi,NEXThalerPIF,NCT01651650,,2,Completed,Bridging,,Asthma,,,,,41,,,,Device study,,,NEXThaler,No,,Jun-12,,,Sep-12,,,,,,,,,,,,,Inhalation profile study,,,
Link,LABA/ICS,Foster,Chiesi,,NCT01349257,,2,Completed,,,Asthma,,,,,24,,,,-,,,NEXThaler,pMDI,,May-11,,,Jun-11,,,,,,,,,,,,,PK study,,,
Link,LABA/ICS,Foster,Chiesi,,NCT00868023,,2,Completed,,,Asthma,,,,,69,,,,100/6,,,NEXThaler,pMDI,,Feb-09,,,Jul-09,,,,,,,,,,,,,XO study,,,
Link,LABA/ICS,Foster,Chiesi,,NCT01650441,,2,Fully enrolled,,,Asthma,,,,,30,,,,,,,NEXThaler,,,Apr-12,,,Jul-13,,,,,,,,,,,,,Airway dimensions study,,,
Link,LABA/ICS,Foster,Chiesi,,NCT01738087,,2,Completed,,,Asthma,,,,,30,,,,200/6;100/6,,,NEXThaler,Flixotide,,Nov-12,,,Jan-13,,,,,,,,,,,,,Lung bioavailability,,,
Link,LABA/ICS,Foster,Chiesi,ADONE,NCT01191424,,2,Completed,,,Asthma,,,,,57,,,,,,,NEXThaler,Free combo,,Oct-10,,,Sep-11,,,,,,,,,,,,,Includes adolescents,,,
Link,LABA/ICS,Foster,Chiesi,NEPTUNE,NCT01345916,,3,Completed,Pivotal,,Asthma,,,,,932,,,,100/6,,,NEXThaler,pMDI,,Mar-11,,,Aug-11,,,,,,,,,,,,,,,,
